Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,127050,126767,597237,411683,4.7,138
2,United States,96661,94747,792274,265436,8.2,230
3,Japan,30504,30287,223024,61554,7.31,134
4,United Kingdom,20944,20357,206091,37874,9.84,139
5,Russian Federation,18534,18301,34266,12422,1.85,57
6,Canada,17899,17620,215003,40930,12.01,149
7,Germany,17027,16831,140566,27426,8.26,126
8,India,15005,14841,128763,37209,8.58,115
9,France,13153,12973,130632,28601,9.93,114
10,South Korea,11983,11923,114675,22595,9.57,104
11,Italy,10964,10794,111850,26661,10.2,106
12,Spain,9428,9330,123336,23964,13.08,115
13,Iran,8896,8819,57470,19125,6.46,72
14,Australia,8831,8725,90765,15606,10.28,107
15,Brazil,8668,8596,60702,14396,7,86
16,Taiwan,6468,6441,86099,14768,13.31,102
17,Turkey,5879,5827,91857,23165,15.62,104
18,Norway,5675,5634,32693,6024,5.76,74
19,Netherlands,5170,5105,48351,6067,9.35,85
20,Sweden,4565,4494,57889,9632,12.68,95
21,Malaysia,3914,3881,25545,6597,6.53,62
22,Switzerland,3636,3599,38962,6186,10.72,81
23,Denmark,3531,3494,37254,6191,10.55,85
24,Mexico,3249,3214,21524,4145,6.62,57
25,Poland,3123,3102,24852,5395,7.96,55
26,Saudi Arabia,2979,2930,21208,2469,7.12,61
27,Greece,2866,2835,41662,6226,14.54,82
28,Egypt,2789,2752,19123,2778,6.86,55
29,Belgium,2697,2642,23720,3300,8.79,63
30,Singapore,2488,2443,36098,3700,14.51,81
31,Hong Kong,2448,2436,34453,3959,14.07,78
32,Portugal,2443,2426,22700,3639,9.29,63
33,Finland,1998,1978,19273,3260,9.65,59
34,South Africa,1928,1913,11924,1996,6.18,46
35,Austria,1761,1736,14580,1557,8.28,53
36,Ukraine,1744,1608,5073,1323,2.91,27
37,Romania,1738,1729,7100,1350,4.09,38
38,Thailand,1722,1712,19764,2600,11.48,62
39,Czech Republic,1608,1600,5630,1119,3.5,36
40,Argentina,1223,1213,10620,1654,8.68,47
41,Israel,1215,1202,14764,2051,12.15,54
42,Algeria,1215,1197,7393,1413,6.08,40
43,United Arab Emirates,1137,1124,6055,611,5.33,37
44,New Zealand,1092,1082,11504,1209,10.53,47
45,Colombia,1017,1014,7111,844,6.99,37
46,Nigeria,1017,1011,3559,684,3.5,29
47,Ireland,974,959,14361,1719,14.74,57
48,Venezuela,891,886,6109,693,6.86,41
49,Indonesia,833,827,3588,355,4.31,28
50,Kuwait,737,731,6101,651,8.28,39
51,Hungary,706,699,4367,847,6.19,32
52,Slovakia,690,690,2371,593,3.44,21
53,Estonia,682,664,2865,1394,4.2,19
54,Chile,666,650,5907,738,8.87,35
55,Tunisia,615,612,3902,670,6.34,32
56,Slovenia,609,609,6784,747,11.14,39
57,Pakistan,593,588,3536,836,5.96,28
58,Jordan,558,554,6992,690,12.53,43
59,Bulgaria,545,540,6095,989,11.18,38
60,Croatia,520,513,2409,457,4.63,24
61,Serbia,493,486,3247,650,6.59,26
62,Qatar,477,469,2084,327,4.37,21
63,Bangladesh,477,472,1948,143,4.08,23
64,Oman,457,455,2396,262,5.24,25
65,Lithuania,412,405,1508,361,3.66,17
66,Iraq,353,353,1537,134,4.35,19
67,Azerbaijan,342,339,548,125,1.6,11
68,Lebanon,293,290,2721,267,9.29,28
69,Latvia,285,284,452,95,1.59,10
70,Morocco,262,256,2495,364,9.52,27
71,Viet Nam,261,258,1164,92,4.46,16
72,Belarus,240,234,989,119,4.12,17
73,Cuba,211,209,980,152,4.64,16
74,Kazakhstan,206,202,601,99,2.92,10
75,Philippines,186,185,1018,189,5.47,17
76,Libya,186,185,900,52,4.84,16
77,Trinidad and Tobago,182,180,335,27,1.84,10
78,Cyprus,179,174,4760,274,26.59,32
79,Sri Lanka,147,144,1468,78,9.99,16
80,Iceland,128,128,319,38,2.49,8
81,Brunei Darussalam,113,113,533,43,4.72,11
82,Bahrain,111,109,997,33,8.98,15
83,Macedonia,105,104,1130,75,10.76,18
84,Kenya,104,104,1408,23,13.54,14
85,Bosnia and Herzegovina,92,91,421,48,4.58,12
86,Armenia,91,91,518,207,5.69,11
87,Syrian Arab Republic,88,87,655,86,7.44,14
88,Peru,84,83,211,21,2.51,8
89,Nepal,74,74,156,5,2.11,7
90,Cameroon,71,71,386,70,5.44,11
91,Uruguay,71,70,728,80,10.25,15
92,Puerto Rico,69,67,639,28,9.26,11
93,Ecuador,68,68,101,2,1.49,5
94,Luxembourg,63,62,303,32,4.81,11
95,Moldova,57,57,116,47,2.04,6
96,Uzbekistan,57,56,158,45,2.77,7
97,Tanzania,56,56,600,69,10.71,15
98,Palestine,51,51,407,22,7.98,11
99,Angola,50,50,79,0,1.58,5
100,Ethiopia,49,47,128,28,2.61,4
101,Ghana,48,48,137,4,2.85,5
102,Sudan,43,43,164,11,3.81,7
103,Costa Rica,41,40,79,18,1.93,5
104,Macao,38,38,208,8,5.47,6
105,Malta,35,35,74,14,2.11,5
106,Monaco,34,34,9,5,0.26,1
107,Botswana,34,32,79,5,2.32,5
108,Georgia,33,33,22,4,0.67,3
109,Uganda,33,33,32,3,0.97,2
110,Mongolia,30,30,107,20,3.57,7
111,Paraguay,30,30,104,10,3.47,5
112,Yemen,28,28,121,25,4.32,8
113,Bolivia,26,24,103,9,3.96,5
114,Burkina Faso,26,26,158,18,6.08,8
115,North Korea,25,25,436,0,17.44,10
116,Montenegro,25,25,42,10,1.68,4
117,Congo,23,23,10,1,0.43,2
118,Albania,23,23,168,14,7.3,6
119,Zimbabwe,22,21,27,1,1.23,3
120,Senegal,20,20,325,7,16.25,10
121,El Salvador,20,20,21,3,1.05,2
